City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortaleza,-3.7227,-38.5247,28.07,78,0,2.57,BR,1715472798
1,neiafu,-18.65,-173.9833,27.38,54,40,5.66,TO,1715472799
2,invercargill,-46.4,168.35,10.57,99,92,1.79,NZ,1715472800
3,longyearbyen,78.2186,15.6401,-0.09,80,75,4.63,SJ,1715472801
4,stanley,54.868,-1.6985,11.4,89,0,2.06,GB,1715472801
5,bilibino,68.0546,166.4372,0.5,80,32,1.19,RU,1715472802
6,murwillumbah,-28.3167,153.4,21.2,88,100,2.06,AU,1715472653
7,timimoun,29.2639,0.231,28.45,15,90,4.33,DZ,1715472804
8,duong dong,10.2167,103.9667,26.0,94,20,0.51,VN,1715472615
9,vicente guerrero,19.1194,-98.1708,30.25,12,87,6.28,MX,1715472806
10,rawai,7.7797,98.3253,31.1,73,100,2.45,TH,1715472683
11,vytegra,61.0064,36.4481,-1.47,95,35,2.68,RU,1715472808
12,saipan,15.1355,145.701,32.39,62,40,8.23,MP,1715472809
13,adamstown,-25.066,-130.1015,20.48,63,5,4.16,PN,1715472809
14,dombarovskiy,50.7587,59.5386,11.11,48,38,1.79,RU,1715472810
15,semarang,-6.9932,110.4203,26.96,83,20,2.57,ID,1715472662
16,santa ana de yacuma,-13.75,-65.4333,28.17,60,14,1.85,BO,1715472812
17,yellowknife,62.456,-114.3525,6.9,59,99,2.68,CA,1715472813
18,codrington,-38.2667,141.9667,13.99,75,5,2.08,AU,1715472813
19,al bawiti,28.3492,28.8659,19.38,57,0,3.12,EG,1715472814
20,larroque,-33.036,-59.0013,12.85,80,100,4.66,AR,1715472815
21,puerto baquerizo moreno,-0.9,-89.6,23.3,87,78,3.37,EC,1715472816
22,margaret river,-33.95,115.0667,12.97,82,100,3.45,AU,1715472817
23,kapa'a,22.0752,-159.319,24.18,86,100,6.17,US,1715472818
24,nova sintra,14.8667,-24.7167,20.95,75,59,8.79,CV,1715472819
25,harper,4.375,-7.7169,27.58,86,99,3.83,LR,1715472819
26,narok,-1.0783,35.8601,14.04,96,56,1.42,KE,1715472820
